Palavra,Frequência
itil,486
informação,314
tecnologia,302
c,288
serviços,240
gerenciamento,237
promoção,202
eventos,201
questão,201
seleção,200
centro,200
vinculados,200
unb,200
fonte,198
itens,190
serviço,186
área,178
julgue,178
ti,168
analista,147
br,113
questões,99
processo,87
versão,78
processos,78
tribunal,66
governança,64
técnico,60
cobit,53
acerca,52
judiciário,50
dados,48
gran,48
cursos,48
concursos,48
públicos,48
comentadas,48
professores,48
https,48
seguir,45
gestão,45
sistemas,44
respeito,42
organização,42
conceitos,37
operação,37
estratégia,35
negócio,35
relação,35
configuração,34
base,34
banco,34
federal,34
seguintes,33
práticas,32
figura,32
b,31
seguem,31
especialidade,30
desenho,30
subsequentes,30
mudanças,30
apoio,30
modelo,29
incidentes,29
controle,29
informática,28
nacional,28
suporte,27
sistema,27
desenvolvimento,27
d,27
transição,27
qualidade,27
análise,26
regional,26
technology,26
information,26
library,25
service,24
justiça,24
sobre,24
infrastructure,24
objetivos,24
acima,23
atividades,23
forma,23
considerando,23
empresa,23
am,23
clientes,22
problemas,21
conjunto,21
processamento,21
ministério,21
projetos,21
mudança,21
es,21
segurança,20
entrega,20
tre,20
eleitoral,20
ativos,20
informações,20
estágio,19
recursos,19
referência,19
gerenciar,19
todos,18
tendo,18
nível,18
contas,18
responsável,18
disponibilidade,17
administração,17
tj,17
especializado,17
vida,16
infraestrutura,16
contínua,16
administrativo,16
ciclo,16
apresenta,15
projeto,15
pode,15
serpro,15
público,15
ambiente,15
instituto,15
relativos,15
áreas,15
próximos,15
agência,15
catálogo,15
união,15
central,14
usuários,14
produção,14
operações,14
continuidade,14
melhores,14
acordo,14
tempo,14
modelos,14
melhoria,14
externo,14
elementos,14
valor,14
industrial,13
operacional,13
negócios,13
científico,13
basa,13
amazônia,13
funções,13
previdência,12
empresas,12
quanto,12
sendo,12
redes,12
iii,12
pr,12
gerência,12
capacidade,12
garantir,12
riscos,12
complexidade,12
grande,12
iso,12
brasileiro,11
pa,11
usuário,11
pessoas,11
níveis,11
metrologia,11
implantação,11
mpu,11
objetivo,11
portfólio,10
df,10
tce,10
impacto,10
refere,10
atividade,10
ii,10
cliente,10
publicações,10
espírito,10
organizações,10
situação,10
visa,10
podem,10
auditor,10
fundamentos,10
custos,10
rio,10
santo,10
ba,10
estrutura,9
técnica,9
prestação,9
necessários,9
risco,9
distrito,9
pois,9
identificar,9
deve,9
dessa,9
relacionados,9
publicação,9
referentes,9
devem,9
função,9
pmbok,9
diferentes,8
tipo,8
demanda,8
executivo,8
fase,8
desempenho,8
complementar,8
sebraedf,8
computador,8
pequenas,8
micro,8
planejamento,8
rj,8
biblioteca,8
departamento,8
parte,8
aderente,8
propriedade,8
cada,8
possível,8
componentes,8
estado,8
normalização,7
social,7
inmetro,7
fornecedores,7
hipotética,7
descrito,7
prática,7
item,7
básicos,7
abrange,7
maior,7
utilização,7
partir,7
manutenção,7
além,7
solução,7
nova,7
fim,7
al,7
necessidades,7
superior,7
resultados,7
trabalho,7
meio,7
educação,7
conforme,7
dia,6
fornecer,6
brasileira,6
setores,6
especialista,6
contém,6
cumprimento,6
enquanto,6
dataprev,6
incidente,6
correta,6
aspectos,6
paraná,6
telecomunicações,6
apresentados,6
incluindo,6
mt,6
rs,6
desse,6
manter,6
somente,6
uso,6
alta,6
relacionamentos,6
define,6
determinado,6
luz,6
outras,6
estágios,6
maneira,6
livros,6
mec,6
dentro,6
apenas,6
avaliar,6
considerado,6
governo,6
detalhes,6
financeiro,6
outros,6
fundação,6
aplicação,6
horas,6
pará,6
frameworks,6
estratégica,5
descreve,5
ativo,5
modo,5
computadores,5
modelagem,5
level,5
soluções,5
técnicas,5
bahia,5
proposta,5
implementar,5
vez,5
âmbito,5
padrões,5
específicos,5
eficiência,5
causas,5
avaliação,5
médio,5
tmef,5
restaurar,5
tais,5
domínio,5
resultado,5
após,5
requisitos,5
empresariais,5
assegurar,5
programas,5
definir,5
atualização,5
serem,5
irregularidade,5
change,5
gerente,5
órgão,5
núcleo,5
tcu,5
apresentadas,5
todas,5
considerada,5
computação,5
alterações,5
relacionamento,5
normalmente,5
necessidade,5
vários,5
resolver,5
inclui,5
assinale,5
opção,5
cinco,5
normas,5
atendimento,5
principais,5
pública,5
adequado,5
comunicação,5
execução,5
subsecutivos,5
gerenciados,4
registros,4
aviação,4
segundo,4
sc,4
entendimento,4
certos,4
cenário,4
planejar,4
novos,4
civil,4
nesse,4
anac,4
bsc,4
secretaria,4
reportar,4
assistente,4
mercado,4
havia,4
previsto,4
implementação,4
sido,4
arquitetura,4
maturidade,4
melhorar,4
identificada,4
management,4
desastre,4
gerencial,4
indicadores,4
indisponibilidade,4
diversos,4
foco,4
específico,4
orientação,4
amazonas,4
inpi,4
estratégico,4
dias,4
solicitações,4
fiscal,4
ambientes,4
consiste,4
administrativa,4
conhecimento,4
normal,4
estratégicos,4
responsabilidade,4
validação,4
teste,4
ciência,4
assim,4
definição,4
realizadas,4
região,4
orçamento,4
ro,4
vista,4
penitenciário,4
disponíveis,4
engenharia,4
rede,4
administrador,4
medir,4
controlar,4
empregada,4
utilizar,4
eficaz,4
i,4
identificados,4
ações,4
tanto,4
registro,4
identificação,4
solicitação,4
cmmi,4
produtos,4
polícia,4
requisições,4
descrição,4
trt,4
procedimentos,4
requisito,4
sul,4
aplicativo,4
ambos,4
portanto,4
stj,4
analisar,4
alagoas,4
usados,4
perito,4
coordenação,4
nessa,4
simples,4
framework,4
anatel,4
correto,4
garantia,4
custo,4
permite,4
possa,4
críticos,4
servidor,4
utilidade,4
inteligência,4
funcionamento,4
janeiro,4
técnicos,4
liberação,4
momento,4
realizado,4
tmrs,4
mencionados,4
rn,4
políticas,4
explicitamente,4
alguns,4
feita,4
utilizado,4
construção,3
oficial,3
tmpr,3
diretamente,3
programação,3
operacionais,3
alcance,3
alinhamento,3
eficiente,3
atender,3
dispostos,3
responsáveis,3
considerar,3
obtida,3
consoante,3
complementações,3
escopo,3
resolução,3
v,3
lan,3
wan,3
fundamentado,3
brasil,3
disso,3
única,3
setor,3
testes,3
monitorar,3
ilustra,3
erros,3
busca,3
bs,3
design,3
visão,3
específicas,3
presente,3
criminal,3
deverá,3
orientações,3
conhecido,3
sucesso,3
equipe,3
implantada,3
ace,3
portuário,3
ma,3
tecnologias,3
emap,3
portuária,3
maranhense,3
todo,3
continuada,3
descritos,3
determinada,3
oferecidos,3
slas,3
restrições,3
humanos,3
diversas,3
produto,3
estilo,3
numerais,3
representados,3
ciências,3
tratar,3
então,3
identificadas,3
biotecnologia,3
solucionar,3
prazo,3
sergipe,3
transition,3
operation,3
funcionais,3
mato,3
consumo,3
destacam,3
pacote,3
grosso,3
antes,3
fatores,3
oferta,3
diagrama,3
composto,3
criar,3
ausência,3
conformidade,3
causado,3
corporativa,3
método,3
legislativa,3
minimizar,3
impactos,3
padrão,3
gerências,3
utilizada,3
monitoramento,3
arquivos,3
princípios,3
vulnerabilidade,3
acordados,3
intelectual,3
bem,3
legislativo,3
interrupção,3
fundamental,3
alcançar,3
informado,3
auxiliar,3
aumento,3
ágil,3
tal,3
considere,3
estudos,3
subseqüentes,3
métricas,3
exe,3
funpresp,3
sob,3
lida,3
raiz,3
recuperação,3
permitir,3
entregar,3
balanced,3
melhor,3
scorecard,3
incluem,3
corporativos,3
afirmar,3
hemobras,3
alicerçados,3
acordos,3
atingir,3
petróleo,3
tics,3
precisa,3
britânico,3
relacionadas,3
alteração,3
provedor,3
tecnológicas,3
otimizar,3
caso,3
orientada,3
ação,3
dessas,3
poder,3
geral,3
hemoderivados,3
período,3
tmeis,3
internos,3
plano,3
aplicações,3
adoção,2
cldf,2
similar,2
etapas,2
constitui,2
entradas,2
visto,2
tcdf,2
consultor,2
longo,2
superintendência,2
capes,2
zona,2
apresentar,2
estruturar,2
territórios,2
alto,2
planos,2
variações,2
desses,2
rápida,2
resposta,2
divididos,2
oriented,2
métodos,2
tjdft,2
projetados,2
contingências,2
norte,2
rápido,2
necessárias,2
melhorias,2
manaus,2
existe,2
número,2
envolve,2
enfoca,2
principal,2
câmara,2
dimensionar,2
objectives,2
control,2
diretrizes,2
disposto,2
embora,2
visam,2
características,2
architecture,2
reconhecida,2
depen,2
agente,2
penal,2
franca,2
organizacional,2
suframa,2
armazenamento,2
determinar,2
desk,2
abordagem,2
pesquisador,2
similares,2
improvement,2
continual,2
série,2
assegura,2
relativa,2
representa,2
agreements,2
máximo,2
estudo,2
fluxograma,2
páginas,2
comum,2
produz,2
linguagem,2
existem,2
estabelece,2
adotam,2
supremo,2
atribuída,2
compreende,2
adequada,2
ce,2
estrutural,2
documento,2
tl,2
plataformas,2
tipos,2
adaptar,2
destinadas,2
bpm,2
requests,2
sla,2
segmentos,2
energia,2
process,2
metodologias,2
maturity,2
elétrica,2
desenvolver,2
contingência,2
commerce,2
government,2
of,2
ogc,2
atualmente,2
procedimento,2
programadores,2
utilizados,2
fornecidos,2
natural,2
assegurando,2
interno,2
problema,2
contato,2
equipamento,2
composta,2
fato,2
reconhecimento,2
proposto,2
desenvolvida,2
natureza,2
mesma,2
progresso,2
impactadas,2
relacionada,2
independente,2
possui,2
bombeiro,2
militar,2
ancine,2
dispositivos,2
capacidades,2
suportam,2
cinema,2
nome,2
lógica,2
altamente,2
diretivo,2
passou,2
descrita,2
stf,2
reúne,2
documentação,2
desdobramento,2
potencial,2
criado,2
recuperados,2
classificação,2
xpto,2
preestabelecido,2
estabelecida,2
provimento,2
emprego,2
hipotético,2
embasada,2
denominada,2
conhecidos,2
integrada,2
abin,2
constante,2
configurações,2
influência,2
pessoal,2
bdgc,2
dependentes,2
guias,2
executadas,2
volume,2
padronizados,2
aperfeiçoamento,2
inicial,2
utilizando,2
integração,2
baixo,2
autorizações,2
adicionais,2
ocasionou,2
ocorrido,2
vezes,2
gerar,2
perdas,2
financeiras,2
imagem,2
time,2
percebida,2
notificaram,2
ocasiões,2
disponibilizar,2
diagnóstico,2
investigação,2
registrados,2
sempre,2
chamado,2
menos,2
disponibilizada,2
semana,2
auditoria,2
requisição,2
questionamento,2
recebeu,2
diminuição,2
gerais,2
noções,2
novas,2
acompanhar,2
boas,2
apesar,2
atuar,2
quais,2
atuam,2
único,2
santa,2
catarina,2
disponibiliza,2
fub,2
brasília,2
vital,2
sobrevivência,2
universidade,2
criticidade,2
funcionar,2
geralmente,2
verificou,2
gestor,2
compreensão,2
destinado,2
aplicativos,2
emergência,2
controlada,2
programador,2
criação,2
estruturada,2
realize,2
tratamento,2
compõem,2
organizacionais,2
menor,2
soma,2
recuperar,2
específica,2
falhas,2
economia,2
avaliarem,2
associadas,2
equipamentos,2
conhecimentos,2
diretórios,2
proteção,2
recorrentes,2
associados,2
estadual,2
ter,2
receita,2
sefaz,2
fazenda,2
corretas,2
acesso,2
pessoa,2
perspectiva,2
grupo,2
desenvolvidos,2
causa,2
abertura,2
aprovação,2
iniciativas,2
procuradoria,2
incluir,2
pgdf,2
facilitar,2
desejam,2
gerenciadas,2
corresponde,2
indiretamente,2
etapa,2
redução,2
seguinte,2
contrário,2
individualmente,2
contexto,2
prestados,2
consumidor,2
armazena,2
categoria,2
inclusive,2
tarefas,2
mg,2
cocriação,2
defensoria,2
correspondem,2
petrobras,2
itile,2
futuros,2
faz,2
aceitação,2
banrisul,2
municipais,1
saídas,1
indicador,1
significa,1
confiança,1
ameaças,1
preestabelecidos,1
bom,1
garantindo,1
influenciam,1
recebidas,1
entrada,1
desejado,1
realizam,1
rondônia,1
gasto,1
ameaça,1
saído,1
dpe,1
incremento,1
chamadas,1
pmi,1
abrangem,1
durante,1
títulos,1
compatíveis,1
aproximem,1
tributos,1
inspetor,1
aracaju,1
prefeitura,1
queda,1
trata,1
próprio,1
cobrança,1
root,1
contabilização,1
hardware,1
necessária,1
consistente,1
métrica,1
típica,1
detectar,1
cause,1
relativamente,1
precisão,1
sensíveis,1
distúrbios,1
desvios,1
cuja,1
tornam,1
diárias,1
curto,1
depende,1
repetidas,1
especializados,1
analysis,1
recebem,1
treinamento,1
desempenhar,1
contribui,1
bons,1
garante,1
coordenadas,1
combinam,1
implementam,1
produzir,1
dirigidas,1
aberto,1
loop,1
integrados,1
realiza,1
colocar,1
proativamente,1
autorizadas,1
chave,1
conjuntas,1
independentemente,1
produzidos,1
detectadas,1
contidas,1
observáveis,1
instalações,1
externos,1
gerir,1
complexidades,1
modularidade,1
agrupa,1
funcionalmente,1
formar,1
módulos,1
autocontidos,1
plena,1
descrever,1
reunião,1
limita,1
porém,1
outsourcing,1
poderão,1
vitais,1
edição,1
construído,1
testado,1
explorar,1
intenção,1
colocado,1
configuram,1
expectativas,1
itilc,1
atendam,1
it,1
visível,1
entregas,1
estaráe,1
preços,1
pontos,1
iv,1
poderia,1
especializadas,1
alterados,1
mainframe,1
política,1
implantadas,1
ferramentas,1
diversidade,1
scm,1
provê,1
preparados,1
entrar,1
eficazes,1
eficientes,1
reconhecido,1
auditar,1
ans,1
codevasf,1
propostas,1
parnaíba,1
francisco,1
vales,1
companhia,1
portfólios,1
monitoração,1
colocação,1
strategy,1
fornecedor,1
acurácia,1
investiga,1
auxílio,1
completa,1
ruptura,1
alertado,1
auxilia,1
denominado,1
precisos,1
realistas,1
primordial,1
correspondente,1
neste,1
contratação,1
mobilização,1
seger,1
definida,1
cria,1
elencadas,1
análoga,1
selecionar,1
aquisições,1
eliminação,1
dependem,1
encontrada,1
impostos,1
anexos,1
compreenda,1
esperado,1
toda,1
entregues,1
objetivam,1
ineficiente,1
brevidade,1
entretanto,1
ameaçados,1
potencialmente,1
vulnerabilidades,1
prevenir,1
ainda,1
recorrência,1
encontrar,1
maximizar,1
tornem,1
aferição,1
tendências,1
informados,1
direta,1
comunicar,1
aplicáveis,1
realizará,1
obter,1
cenários,1
infrastrusture,1
capazes,1
promover,1
visando,1
final,1
década,1
século,1
passado,1
apreço,1
pesquisa,1
permitem,1
aumentar,1
eficácia,1
detecção,1
aplicar,1
cbm,1
critérios,1
prioridade,1
system,1
frequentes,1
dano,1
elemento,1
fundamentalmente,1
atuará,1
estudar,1
dez,1
proporcionar,1
classificado,1
objeto,1
escalar,1
versam,1
constituem,1
destacados,1
comparado,1
direto,1
conceitual,1
presentes,1
citados,1
assumir,1
metas,1
intensidade,1
primeiro,1
possuam,1
estática,1
últimos,1
repetitivas,1
econômica,1
escalação,1
empregado,1
empreendida,1
adaptada,1
nomes,1
substituídos,1
números,1
seqüência,1
nomeados,1
releases,1
guarda,1
indicada,1
propõe,1
aplicada,1
referida,1
dois,1
corporativo,1
decisão,1
svs,1
ocorram,1
prevenção,1
saída,1
request,1
orientando,1
estabelecimento,1
coisas,1
apreciação,1
possivelmente,1
ipea,1
slm,1
dado,1
coordenar,1
corpo,1
redigir,1
concordar,1
revisão,1
usadas,1
alcançados,1
gradualmente,1
melhorada,1
value,1
eficientemente,1
decorrer,1
insatisfação,1
inclusão,1
tomadas,1
gcn,1
numeradas,1
efetuado,1
pmf,1
benefícios,1
primary,1
by,1
metodologia,1
devendo,1
amplamente,1
consolidada,1
web,1
assessor,1
cold,1
site,1
hot,1
stand,1
indica,1
substituir,1
tolerável,1
folhas,1
verdade,1
segunda,1
acontecer,1
organizado,1
mensurar,1
efetivamente,1
adicionam,1
xml,1
trafegar,1
partes,1
interessadas,1
recebam,1
practicies,1
claramente,1
politec,1
prescreve,1
relevantes,1
si,1
firmado,1
detalha,1
formato,1
substituição,1
modificações,1
efetuadas,1
termo,1
contendo,1
suficiente,1
obtidos,1
acervo,1
passos,1
especificam,1
realizar,1
utiliza,1
adota,1
servidores,1
duas,1
conseqüente,1
contigência,1
existência,1
ofertas,1
enfoques,1
acordadas,1
exportações,1
investimentos,1
têm,1
incentivadas,1
crescente,1
apex,1
local,1
transformar,1
comosimulado,1
funil,1
requerimentos,1
ajudar,1
prodest,1
g,1
f,1
dividido,1
satisfação,1
spmf,1
tema,1
guia,1
definido,1
modificação,1
agrupamento,1
utilizadas,1
html,1
autorizar,1
consumidora,1
implantações,1
ict,1
repositório,1
códigos,1
associada,1
indicam,1
grau,1
prioridades,1
indesejáveis,1
sistêmica,1
mantido,1
demandar,1
rotineira,1
performance,1
relacionado,1
desde,1
contratantes,1
aneel,1
preservação,1
integram,1
respectivos,1
operar,1
ajudam,1
implantar,1
pertençam,1
focado,1
estático,1
dispensável,1
cabe,1
prover,1
canal,1
inteiro,1
estruturado,1
volumes,1
possuir,1
brasileiras,1
telebras,1
listados,1
controles,1
especificamente,1
suportar,1
tipificada,1
dpf,1
descritas,1
atualizados,1
integrante,1
requerem,1
entidades,1
projetado,1
ágeis,1
encontro,1
organizar,1
orienta,1
desenhados,1
implantados,1
vai,1
pronto,1
essência,1
facilita,1
preconiza,1
apresentado,1
bnb,1
nordeste,1
forte,1
sintonia,1
flexibilidade,1
gerentes,1
habilitados,1
conflitos,1
intermédio,1
propósito,1
constantemente,1
sgp,1
revisões,1
regulares,1
requeridas,1
perícia,1
disponibilizando,1
seguido,1
roteiro,1
descentralizada,1
caracteriza,1
erro,1
know,1
error,1
tratados,1
dominante,1
representado,1
delegação,1
colaboração,1
documentada,1
exemplo,1
reiniciar,1
contorno,1
acabam,1
encontrados,1
oferecendo,1
complementares,1
fornecem,1
sofrem,1
indústria,1
pedidos,1
continuou,1
referido,1
anormal,1
refira,1
cálculo,1
judicial,1
sugere,1
quatro,1
ps,1
people,1
processes,1
originada,1
products,1
parceiros,1
partners,1
conta,1
condição,1
missão,1
crítica,1
dotado,1
recurso,1
proativa,1
retarda,1
emitiu,1
alerta,1
processador,1
min,1
consecutivos,1
estação,1
alocados,1
efetividade,1
inep,1
atribuídos,1
ocupam,1
cargo,1
respondam,1
exigem,1
passo,1
exclusiva,1
permanentemente,1
ligada,1
fundo,1
descritivos,1
fnde,1
sênior,1
existente,1
configurados,1
contemplados,1
controlados,1
estipulado,1
devidamente,1
requeridos,1
liberado,1
pertencente,1
pesquisas,1
educacionais,1
anísio,1
grupos,1
estrategy,1
livro,1
coletar,1
envolver,1
subsequente,1
realizados,1
acordado,1
implementado,1
segue,1
pdca,1
plan,1
check,1
act,1
realização,1
processar,1
aparece,1
atuais,1
incluso,1
fases,1
centralizada,1
atua,1
indisponíveis,1
pipeline,1
inativos,1
concedido,1
autoridades,1
responsabilidades,1
teixeira,1
motivaram,1
máxima,1
constar,1
minuto,1
estabelecido,1
adequadas,1
dividida,1
tático,1
ficado,1
assertiva,1
retornar,1
adaptem,1
defendam,1
próprias,1
segundos,1
trinta,1
global,1
aproximadamente,1
demorando,1
estaria,1
matemáticos,1
prever,1
comportamento,1
normalidade,1
lógico,1
contrastante,1
aplicável,1
gestores,1
apresentou,1
funcionalidades,1
analítica,1
melhora,1
reunidas,1
pedido,1
impossibilitava,1
requisitado,1
agregar,1
responder,1
aquisição,1
exercidos,1
papéis,1
regulações,1
restaurada,1
solicitar,1
exigidas,1
minimizado,1
podendo,1
certificar,1
entregue,1
aplicados,1
minas,1
contínuo,1
relatórios,1
mpog,1
liberações,1
relativas,1
tratado,1
scrum,1
anteriormente,1
compartilhadas,1
permitindo,1
adquirir,1
receber,1
construir,1
fazem,1
alterado,1
departamentos,1
avaliou,1
aprovou,1
integridade,1
razão,1
estabilidade,1
negativamente,1
impactar,1
envolvimento,1
mitigação,1
alternativas,1
contemple,1
atenda,1
prioritários,1
essenciais,1
prazos,1
máximos,1
máximose,1
