Palavra,Frequência
taxa,24
ferrovia,16
governo,16
it,15
software,15
dados,14
recursos,14
governance,14
pessoa,13
seguir,13
sistemas,12
sistema,12
relação,12
acerca,10
construção,10
função,10
operação,10
in,9
seguintes,9
refere,9
anos,9
demanda,8
negócio,8
respeito,8
atividades,8
economia,8
usuário,8
conteúdo,8
caso,8
c,7
regime,7
seguinte,7
forma,7
int,7
juros,7
bancos,7
aumento,7
capital,7
abaixo,7
processos,7
estado,7
linguagem,7
web,7
desenvolvimento,7
mechanisms,7
pode,6
gerente,6
via,6
equilíbrio,6
sapatos,6
pública,6
criar,6
análise,6
arquitetura,6
então,6
i,6
cada,6
subsecutivos,6
permite,6
acordo,6
união,6
id,6
null,6
suficiente,6
modelagem,6
nominal,6
modelo,6
outros,6
moeda,6
ofício,6
estoque,5
nível,5
atratividade,5
mínima,5
objetos,5
devem,5
proposição,5
salário,5
durante,5
propriedade,5
apenas,5
corretamente,5
requisitos,5
necessário,5
aspectos,5
is,5
tempo,5
comando,5
corporate,5
execução,5
federal,5
algumas,5
organização,5
subsequentes,5
interna,5
relativos,5
medalhão,5
considerando,5
testes,5
gerenciamento,5
retorno,5
empresário,5
interesse,4
necessidade,4
valor,4
vista,4
privada,4
tesouro,4
parte,4
direto,4
público,4
argumento,4
banco,4
loja,4
todos,4
pagando,4
executar,4
nome,4
elementos,4
effective,4
control,4
administração,4
câmbio,4
produção,4
bacen,4
investir,4
período,4
y,4
derivada,4
setor,4
consumo,4
próximo,4
volumosos,4
investimentos,4
iniciais,4
utilização,4
palavra,4
real,4
dedesenvolvimento,4
características,4
pronome,4
referência,4
primeiros,4
próximos,4
subsidiada,4
produto,4
java,4
mudança,4
projeto,4
not,4
enderecopessoa,4
option,4
aplicação,4
acima,4
menos,4
grande,4
ideias,4
qualquer,4
porém,4
busca,4
table,4
página,4
poder,4
processo,4
onde,3
sintaxe,3
nesse,3
construída,3
quer,3
argumentos,3
privado,3
vez,3
tal,3
junit,3
escrito,3
expressão,3
concordion,3
segmento,3
correta,3
haverá,3
erro,3
responsabilidade,3
baixa,3
uso,3
necessários,3
tipos,3
quais,3
selic,3
empresta,3
mundo,3
diz,3
nuvem,3
dispositivos,3
informações,3
restou,3
estilo,3
varchar,3
emprego,3
indireta,3
documento,3
controle,3
próprios,3
formas,3
sharepoint,3
negócios,3
fundamental,3
cf,3
text,3
such,3
upon,3
based,3
pervasiveness,3
enterprise,3
vinte,3
entidades,3
acesso,3
matricula,3
documentos,3
presidente,3
investimento,3
tabela,3
chave,3
reservas,3
relativo,3
crédito,3
ordem,3
desejo,3
escolha,3
brasil,3
econômica,3
atividade,3
nacional,3
financeira,3
trabalho,3
iniciativa,3
longo,3
métodos,3
computação,3
programa,3
m,3
inflação,3
dessa,3
arte,3
difícil,3
número,3
redução,3
configuração,3
p,3
teoria,3
equipes,3
dois,3
itgovernance,3
quantidade,3
resto,3
equação,3
leitores,3
funcionais,3
operações,3
renda,3
trecho,3
irá,3
referentes,3
computadores,3
específicos,2
lei,2
diversos,2
conforme,2
padrões,2
diversas,2
fontes,2
alterar,2
adotar,2
decisões,2
daadministração,2
direta,2
possível,2
camadas,2
portais,2
serviços,2
passo,2
pessoas,2
primária,2
alter,2
armazenamento,2
add,2
spb,2
key,2
deve,2
referente,2
transformar,2
portal,2
operacionais,2
arquivos,2
corporativo,2
apf,2
sprint,2
gestão,2
executado,2
regimes,2
funcionalidades,2
df,2
audit,2
sequência,2
these,2
fragmentos,2
gerado,2
projetos,2
largely,2
condição,2
steps,2
number,2
isaca,2
systems,2
estados,2
information,2
técnicas,2
cobit,2
awareness,2
diagrama,2
public,2
rede,2
scrum,2
desenho,2
processes,2
that,2
system,2
internet,2
tarefa,2
canal,2
entes,2
indexação,2
google,2
business,2
intelligence,2
data,2
dm,2
bem,2
componentes,2
ação,2
todas,2
raid,2
representam,2
empresa,2
regras,2
fundamentais,2
been,2
has,2
central,2
on,2
transferência,2
emissão,2
fundos,2
móveis,2
acionista,2
metodologia,2
informação,2
utilizar,2
segundo,2
remunerar,2
emprestado,2
tomar,2
oneroso,2
geral,2
construtor,2
toma,2
desenvolvida,2
q,2
programação,2
r,2
gastos,2
constante,2
paradigma,2
operador,2
podem,2
x,2
supera,2
exemplos,2
usuários,2
aplicações,2
incremental,2
insumo,2
padding,2
primeira,2
l,2
t,2
k,2
elemento,2
div,2
descrita,2
g,2
rascunho,2
objetiva,2
monetário,2
teclado,2
estrutura,2
proteção,2
restrições,2
hánecessidade,2
html,2
válido,2
emprestados,2
constrói,2
alta,2
escrever,2
sobre,2
fixo,2
expansão,2
crescimento,2
create,2
internacionais,2
exportações,2
governamental,2
engenharia,2
atualmente,2
qualidade,2
construir,2
partir,2
fazenda,2
ministro,2
ocorre,2
sentido,2
novas,2
char,2
tabelas,2
liquidação,2
crise,2
efeitos,2
incentivar,2
select,2
cor,2
logo,2
orientada,2
itil,2
conceder,2
deverá,2
empresários,2
n,2
dw,2
agregada,2
variáveis,2
suautilização,2
teste,2
polimorfismo,2
herança,2
classe,2
resultado,2
variável,2
conjunto,2
required,2
apresentados,2
